MagicSchool,SpellName,SpellDescription,ActionCost,Range,SpellEffect
healingmagic,Spoonful of Honey ,Heals a target for a small amount,Tier 1: .5,Touch,+1d2 health
healingmagic,Heal,Heals a target for a small amount,Tier 1: 2 Tier 2: 3 Tier 3: 5,T1: 30ft T2: 45ft (two targets) T3: 60ft (three targets),T1: 1d6 + Healing Magic T2: 2d6 + Healing Magic T3: 3d6 + Healing Magic
healingmagic,Hearth,Heals a target over time,Tier 1: 2 Tier 2: 4 Tier 3: 6,T1: 30ft T2: 45ft (two targets) T3: 60ft (two targets),T1: 1d4 + Healing Magic every 5 seconds for 10 seconds T2: 1d4 + Healing Magic every 5 seconds for 15 seconds T3: 1d4 + Healing Magic every 5 seconds for 20 seconds
healingmagic,Vanaheim's Balm,Cures afflictions,Tier 1: 2 Tier 2: 4 Tier 3: 6,30ft,T1: cures Stunned Blinded and Poisoned T2: cures T1 afflictions + Slowed and Hypnotized T3: cures previous afflictions + Mortia's Disease and Madness
healingmagic,Resuscitate,Revives a target from death,Tier 3: 6,Touch,Revives a target from death if they died within 10 seconds. Can only be cast once a week
utilitymagic,Lamplight,Creates a cone of light from the casters waist that pierces through all non-magical darkness,Tier 1: .5 Tier 2: 1 Tier 3: 2,T1: 5ft cone for 15 minutes T2: 15ft cone for 30 minutes T3: 35ft cone for 1 hour,
utilitymagic,Quick Fix,Un-jams a gun,Tier 1: 2 Tier 2: 4 Tier 3: 6,Touch,T1: 1 jam T2: 2 jams T3: Full repair
utilitymagic,Vanaheim's Vow,The caster and anyone standing within a 10ft circle centered around the caster are buffed with healing over time and extra movement. If at full health the healing kicks in after the target has taken damage at the end of the targets turn,Tier 1: 3 Tier 2: 5 Tier 3: 7,10ft circle centered around the caster. Effect lasts for 2 minutes,T1: 1d4 healing every 5 seconds for 10 seconds and +5ft MB T2: 1d6 healing every 5 seconds for 10 seconds and +10ft MB T3: 1d8 healing every 5 seconds for 10 seconds and +10ft MB
absolutionmagic,Radiant Crossbow,Conjures a one-handed crossbow made of light that shoots once then disappears,Tier 1: 2 Tier 2: 4 Tier 3: 6,T1: 25ft T2: 40ft T3: 60ft,T1: 1d6 Holy + Absolution Magic T2: 1d8 Holy + Absolution Magic T3: 1d12 Holy + Absolution Magic
absolutionmagic,Holy Slash,Conjures a quick slash of pure light,Tier 1: 2 Tier 2: 3 Tier 3: 6,5ft,T1: 1d4 Holy + Absolution Magic T2: 1d6 Holy + Absolution Magic T3: 1d10 Holy + Absolution Magic
absolutionmagic,Volley of Spears,Conjures spears of light that rain down from the sky,Tier 2: 4 Tier 3: 8,30ft (10ft circle) ,T2: Agi.S(13) on fail targets take 1d8 Holy + Absolution Magic or half on success T3: Agi.S(18) on fail targets take 2d8 Holy + Absolution Magic or half on success
absolutionmagic,Golden Gun,Conjures a golden revolver that fires one shot then disappears,Tier 3: 4,150ft,1d20 Holy + Absolution Magic
deceptionmagic,Black Mist,Creates a dark cloud that's impossible to see through,Tier 1: 1 Tier 2: 2 Tier 3: 3,T1: 20ft (10ft sphere) T2: 30ft (15ft sphere) T3: 45ft (25ft sphere),T1&2: lasts for 10 seconds T3: lasts for 20 seconds
deceptionmagic,Face Swap,The caster takes the form of another humanoid creature they've seen in the past,Tier 1: 1 Tier 2: 2 Tier 3: 3,Self,T1: lasts for 1 minute T2: lasts for 5 minutes T3: lasts for 30 minutes
