WeaponName,DamageType,ActionCost,Range,Damage
Hand Wraps,Crushing,0.5,5ft,1d2 no mod
Brass Knuckles,Crushing,1,5ft,1d4 + Hand-to-Hand
Bejeweled Cestus,Piercing,2.5,5ft,1d6 + Hand-to-Hand (2 hits)
Boxing Gloves,Crushing,3.5,5ft,1d8 + Hand-to-Hand (2 hits)
Hunting Knife,Slashing,1,5ft,1d4 + Slashing Melee
Clockwork Switchblade,Slashing,1,5ft,1d4 + Slashing Melee
Evergladian Tanto,Slashing,1.5,5ft,1d6 + Slashing Melee
Copper Pipe,Crushing,1.5,5ft,1d6 + Crushing Melee
Frying Pan,Crushing,2,5ft,1d6 + Crushing Melee
Giant Mallet (2H),Crushing,3,10ft,1d12 + Crushing Melee
Cindeli Spear (2H),Piercing,2,10ft,1d8 + Slashing Melee
Butcher Knife,Slashing,1.5,5ft,1d6 + Slashing Melee
Old War Sabre,Slashing,2.5,5ft,1d10 + Slashing Melee
Leather Whip,Slashing,2,10ft,2d4 + Ropework
Barbed Whip,Piercing,3,15ft,2d6 + Ropework
Knotted Whip,Crushing,2,10ft,2d4 + Ropework
Shortbow (2H),Piercing,1,15/30ft,1d4 + Archery
Crossbow,Piercing,2,35/60ft,1d4 + Archery (2 hits)
Evergladian Crossbow (2H),Crushing,3,20/45ft,1d10 + Archery
Bow (2H),Piercing,2,25/50ft,1d6 + Archery
Long Bow (2H),Piercing,2.5,45/90ft,1d8 + Archery
Waxing Crescent Bow (2H),Slashing,3,65/90ft,1d10 + Archery
Clockwork Standing Bow (2H),Piercing,4,85/100ft,2d10 + Archery
Cindeli Concealed Pistol,Slashing,0.5,10/20ft,1d2 no mod
Cindeli Break-Action Revolver,Slashing,2,20/40ft,1d6 + Pistols
Cindeli Single-Action Revolver,Slashing,2.5,30/40ft,1d8 + Pistols
Clockwork Concealed Pistol,Piercing,0.5,10/20ft,1d2 no mod
Clockwork Six-Shooter Revolver,Piercing,1,25/35ft,1d4 + Pistols
Clockwork Single-Action Revolver,Piercing,2,30/40ft,1d8 + Pistols
Clockwork Double-Action Revolver,Piercing,2.5,40/55ft,1d10 + Pistols
Clockwork Semi-Auto Pistol,Piercing,1.5,20/30ft,1d4 + Pistols (2 shots)
Clockwork Hand Cannon,Piercing,4,60/80ft,3d8 + Pistols
Evergladian Six-Shooter Revolver,Crushing,1,25/35ft,1d4 + Pistols
Evergladian Break-Action Revolver,Crushing,2,20/40ft,1d6 + Pistols
Evergladian Semi-Auto Pistol,Crushing,1.5,20/30ft,1d4 + Pistols (2 shots)
Evergladian Heavy Revolver,Crushing,2.5,40/60ft,1d10 + Pistols
Cindeli Lever-Action Rifle,Slashing,1.5,25/50ft,1d6 + Rifles
Cindeli Repeater,Slashing,2,60/80ft,1d4 + Rilfes (2 shots)
Cindeli Revolver Rifle,Slashing,2.5,65/85ft,1d8 + Rifles
Cindeli Semi-Auto Rifle,Slashing,2.5,65/85ft,1d6 + Rifles (2 shots)
Cindeli Break-Action Rifle,Slashing,3,75/95ft,1d12 + Rifles
Clockwork Lever-Action Rifle,Piercing,1.5,25/50ft,1d6 + Rifles
Clockwork Bolt-Action Rifle,Piercing,2,80/100ft,1d10 + Rifles
Clockwork Repeater,Piercing,2,60/80ft,1d4 + Rifles (2 shots)
Evergladian Bolt-Action Rifle,Crushing,2,80/100ft,1d10 + Rifles
Evergladian Anti-Material Rifle,Crushing,6,120/240ft,3d10 + Rifles (can only be shot once every 15 seconds)
Cindeli Pump-Action Shotgun,Slashing,1.5,15/25ft,1d4 + Shotguns
Cindeli Sawed-Off,Slashing,2,10/15ft,1d6 + Shotguns (can fire both barrels for 4 AP)
