Skill,SkillLevel,Perk
Crushing Melee,15,"Knock Down: when attacking with a crushing melee weapon, if you roll above a 17 and your target is medium or smaller, they’re knocked prone for 5 seconds. Three times per rest"
Crushing Melee,25,+1 to damage
Crushing Melee,50,"Momentum Swing: if you miss a hit, you can re-roll. Must say the attack will be a momentum swing before the attack is made. Twice per nap"
Crushing Melee,75,Natural rolls between 18-20 count as crits
Crushing Melee,100,"All checks are automatic successes. You still roll, but only for possible crits"
Shotguns,15,Free Shot: can shoot a shotgun for no AP cost. Once per nap
Shotguns,25,+1 to damage
Shotguns,50,Surgical: shotguns do full damage at long range
Shotguns,75,Natural rolls between 18-20 count as crits
Shotguns,100,"All checks are automatic successes. You still roll, but only for possible crits"
Hand-to-Hand,15,"Double Punch: can strike twice per attack. If the weapon allows two hits per attack already, then it hits four times. Twice per nap"
Hand-to-Hand,25,+1 to damage
Hand-to-Hand,50,"Paralyzing Strike: on hit, target must make a Gum.S(17), on fail, target is paralyzed for 5 seconds. Only works on medium or smaller targets, on large and gigantic targets, they are stunned instead. Twice per rest"
Hand-to-Hand,75,Natural rolls between 18 and 20 count as crits
Hand-to-Hand,100,"All checks are automatic successes. You still roll, but only for possible crits"
Athletics,15,Climber: can climb twice your MB
Athletics,25,+1 to checks
Athletics,50,"Athlete: +10ft to max MB, good odds on all checks"
Athletics,75,1 re-roll per rest
Athletics,100,"All checks are automatic successes. You still roll, but only for possible crits"
Crafting,15, Ignore Jam: the first jam of the day doesn’t actually jam
Crafting,25,"Recycler: materials of the first fail when crafting aren’t lost, +1 to checks"
Crafting,50,Crafty: mobile kits can craft all crafting options 
Crafting,75,1 re-roll per rest
Crafting,100,"All checks are automatic successes. You still roll, but only for possible crits"
Slashing Melee,15,"Parry: when you are attacked or shot at and you have a slashing or piercing weapon in your hand, you can attempt to parry it by making a hit check against the attack roll. If the parry roll is the same as the attack or above, negate half of the damage. If the weapon is coated or is special ammo, the special effect doesn’t happen. Doesn’t work on shockstone bolts. Twice per nap"
Slashing Melee,25,+1 to damage 
Slashing Melee,50,"Artery Cut: make a hit check with a slashing or piercing melee weapon with bad odds. On hit, target takes 1d6 damage every 5 seconds until they are reduced to 0 hp. Does not work on creatures that have a DR of 5 or legendary creatures. Twice per rest"
Slashing Melee,75,Natural rolls between 18 and 20 count as crits
Slashing Melee,100,"All checks are automatic successes. You still roll, but only for possible crits"
Pistols,15,Free Shot: can shoot a pistol for no cost. Once per nap
Pistols,25,+1 to damage
Pistols,50,Hammer Fan: choose up to six targets within range and make hit checks with bad odds on each. Once per rest.
Pistols,75,Natural rolls between 18 and 20 count as crits
Pistols,100,"All checks are automatic successes. You still roll, but only for possible crits"
Ropework,15,Bane of Hogs: you have good odds when attempting to rope a creature when outside of combat
Ropework,25,+1 to damage 
Ropework,50,Knot Expert: any creature attempting to break free while tied up has to roll a crit in order to escape
Ropework,75,Natural rolls between 18 and 20 count as crits
Ropework,100,"All checks are automatic successes. You still roll, but only for possible crits"
Archery,15,Veiled Hunter: +1d6 to sneak attack damage when using a bow
Archery,25,+1 to damage
Archery,50,Archer: called shots don’t have bad odds. You can also double nock and shoot two arrows at the same target for the cost of one. Twice per nap
Archery,75,Natural rolls between 18 and 20 count as crits
Archery,100,"All checks are automatic successes. You still roll, but only for possible crits"
Acrobatics,15,"Dodge Roll: can use 5ft of movement to roll in a direction as a reaction to being hit or shot at, giving you +5 to your EC against the attack. Must decide to do so after the attack roll is made. Three times per nap"
Acrobatics,25,+1 to checks
Acrobatics,50,"Acrobat: +2 to EC, good odds on checks"
Acrobatics,75,1 re-roll per rest
Acrobatics,100,"All checks are automatic successes. You still roll, but only for possible crits"
Sneak,15,"Must’ve Been the Wind: can re-roll a check, once per nap"
Sneak,25,Veiled: +1d6 to sneak attack damage
Sneak,50,+1 to checks
Sneak,75,"One-with-the-Shadows: good odds on checks, can attempt to hide in dim light"
Sneak,100,"All checks are automatic successes. You still roll, but only for possible crits"
Thievery,15,can pick level 25 locks
Thievery,25,"can pick level 50 locks, Wax Object: you carry a collection of homemade wax objects like keys, coins, and gems. After successfully picking a pocket, you can replace what you stole with one of these wax replicas"
Thievery,50,"can pick level 75 locks, 1 re-roll per nap when picking a lock, safe, or vault"
Thievery,75,"can pick level 100 locks, Thief: good odds on checks, when picking a safe or vault that has a dial lock, you automatically know the 1st number"
Thievery,100,"All checks are automatic successes. You still roll, but only for possible crits"
Intimidation,15, Piercing Gaze: +1d4 to checks
Intimidation,25,+1 to checks
Intimidation,50,Stone Will: you cannot be intimidated except under very rare circumstances
Intimidation,75,1 re-roll per rest
Intimidation,100,"All checks are automatic successes. You still roll, but only for possible crits"
Foraging,15,"Green Thumb: you get two ingredients per plant when foraging, three on a crit"
Foraging,25,+1 to checks
Foraging,50,Botanist: healing gained from edible ingredients is doubled
Foraging,75,1 re-roll per rest
Foraging,100,"All checks are automatic successes. You still roll, but only for possible crits"
Cooking,15,"Quick Snack: for .5 AP you can eat a snack that you have stored like jerky or an apple and heal for 1d4 +1. Alternatively, you can toss a snack to a target within 15ft of you for no AP cost. The target can eat the snack immediately for no cost or save it and eat it later for .5 AP. Three times per rest"
Cooking,25,Preserve: you can preserve any amount of food by smoking it or keeping it in a thick layer of salt for a day. That food can last up to a year and gives double healing
Cooking,50,+1 to checks
Cooking,75,"Creature Connoisseur: you can carve and use meat not only from normal game, but from any creature in the wild"
Cooking,100,"All checks are automatic successes. You still roll, but only for possible crits"
Hunting,15,"Favored Animal: choose a type of animal in the wild such as deer, boar, gecko, etc. You have good odds when tracking and hunting chosen creature type and do an extra 1d8 on hit"
Hunting,25,+1 to checks
Hunting,50,"Just a Bug Bite: if you hit an animal that you’re hunting with a ranged weapon and it doesn’t kill, the animal will stay where they are as if nothing happened"
Hunting,75,1 re-roll per rest
Hunting,100,"All checks are automatic successes. You still roll, but only for possible crits"
Animal Handling,15,Animals Best Friend: you have good odds when attempting to tame wild animals and they’re less likely to attack you
Animal Handling,25,+1 to checks
Animal Handling,50,"Mounted Marksman: when attacking while riding on a moving mount, you don’t have bad odds"
Animal Handling,75,1 re-roll per rest
Animal Handling,100,"All checks are automatic successes. You still roll, but only for possible crits"
Rifles,15,"Hold Breath: you can hold your breath, giving you good odds on your current shot. Twice per nap"
Rifles,25,+1 to damage 
Rifles,50,Rifleman: long ranges for rifles don’t have bad odds and you can swap to a rifle for no cost
Rifles,75,Natural rolls between 18 and 20 count as crits
Rifles,100,"All checks are automatic successes. You still roll, but only for possible crits"
Intuition,15,Aware: +15 to Natural Awareness
Intuition,25,+1 to checks
Intuition,50,No Surprises: you automatically sense non-magically hidden creatures within 20ft of you when entering a room and have good odds on checks
Intuition,75,1 re-roll per rest
Intuition,100,"All checks are automatic successes. You still roll, but only for possible crits"
Investigation,15,"Sleuth: when looking for clues to a theft or murder, you have good odds"
Investigation,25,+1 to checks
Investigation,50," Investigator: when entering a room that has a trigger that opens a secret door, you know the area in which the trigger is and you have good odds when searching bodies"
Investigation,75,1 re-roll per rest
Investigation,100,"All checks are automatic successes. You still roll, but only for possible crits"
Gambit,15,"Card-in-Sleeve: when you draw a card that isn’t favorable, you can attempt to swap it out with an ace of spades (20) hidden in your sleeve. You can continue attempting this swap throughout a game"
Gambit,25,+1 to checks
Gambit,50,"Gambler: you have good odds when drawing cards, rolling dice, and cheating "
Gambit,75,1 re-roll per rest
Gambit,100,"All checks are automatic successes. You still roll, but only for possible crits"
Brewing,15,Quick Fermenter: brewing times are halved
Brewing,25,Ingredient Stretcher: you only need half the ingredients to make medium and large tonics
Brewing,50,+1 to checks
Brewing,75,"Brew Master: can brew all manner of alcohol, healing items, and tonics with mobile kits"
Brewing,100,"All checks are automatic successes. You still roll, but only for possible crits"
Galvanism Magic,15,Can cast 1st tier spells
Galvanism Magic,25,Can cast 2nd tier spells. Double Down: any spell that only targets one creature can be doubled to target two creatures. Twice per rest
Galvanism Magic,50,Can cast 3rd tier spells
Galvanism Magic,75,Shocking Revelations: can cast 1st tier spells for half the AP cost (to a minimum of .5) and all shock damage done to you is halved
Galvanism Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
Religion,15,Missionary: good odds on checks when in a place of worship or holy ground 
Religion,25,+1 to checks
Religion,50,"Blessed One: you can pray to your god with a check and on success, gain inspiration. Once per day"
Religion,75,1 re-roll per rest
Religion,100,"All checks are automatic successes. You still roll, but only for possible crits"
History,15,Ain’t Repeatin’ Nothin’: gain double exp from reading a history skill book
History,25,+1 on checks
History,50,"Historian: when attempting to decipher ancient writing or puzzles, you have good odds"
History,75,1 re-roll per rest
History,100,"All checks are automatic successes. You still roll, but only for possible crits"
Medicine,15,Medic: +1d8 healing when using healing items on yourself or others
Medicine,25,+1 to checks
Medicine,50,Angel: you re-roll all 1’s and 2’s when using healing items on yourself or others
Medicine,75,1 re-roll per rest
